Tipo de Paralelização;Número de Threads;Tamanho da Entrada;Tempo de Computação Paralela (s);Tempo de I/O (s);Tempo Total (s);Média  da Computação Paralela;Intervalo de confiança;alfa;Desv.Padrão;tamanho;;;;;
OMP;1;16;0,000253;0,000034;0,000293;0,000326;12,14233871;0,05;19,59089389;10;;;;;
OMP;1;16;0,000249;0,000034;0,000288;;;;;;;;;;
OMP;1;16;0,000254;0,000033;0,000293;;;;;;;;;;
OMP;1;16;0,000249;0,000034;0,000289;;;;;;;;;;
OMP;1;16;0,000436;0,000063;0,000508;;;;;;;;;;
OMP;1;16;0,000437;0,000061;0,000508;;;;;;;;;;
OMP;1;16;0,000438;0,00006;0,000507;;;;;;;;;;
OMP;1;16;0,000436;0,000055;0,0005;;;;;;;;;;
OMP;1;16;0,000249;0,000034;0,00029;;;;;;;;;;
OMP;1;16;0,000256;0,000035;0,000297;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;1;32;0,000974;0,000041;0,00102;0,001250;;;;;;;;;
OMP;1;32;0,000994;0,000043;0,001042;;;;;;;;;;
OMP;1;32;0,000975;0,000044;0,001024;;;;;;;;;;
OMP;1;32;0,000979;0,000041;0,001025;;;;;;;;;;
OMP;1;32;0,000994;0,000041;0,001042;;;;;;;;;;
OMP;1;32;0,000974;0,000041;0,00102;;;;;;;;;;
OMP;1;32;0,001946;0,000087;0,002044;;;;;;;;;;
OMP;1;32;0,001957;0,000081;0,002047;;;;;;;;;;
OMP;1;32;0,001725;0,000069;0,001805;;;;;;;;;;
OMP;1;32;0,000981;0,000047;0,001034;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;1;64;0,005673;0,000155;0,005835;0,004779;;;;;;;;;
OMP;1;64;0,007236;0,000155;0,007402;;;;;;;;;;
OMP;1;64;0,003918;0,000141;0,004064;;;;;;;;;;
OMP;1;64;0,003833;0,000091;0,00393;;;;;;;;;;
OMP;1;64;0,00383;0,000088;0,003924;;;;;;;;;;
OMP;1;64;0,003843;0,000089;0,003938;;;;;;;;;;
OMP;1;64;0,003836;0,000087;0,003928;;;;;;;;;;
OMP;1;64;0,003836;0,000088;0,003929;;;;;;;;;;
OMP;1;64;0,007938;0,000194;0,008142;;;;;;;;;;
OMP;1;64;0,003848;0,000085;0,003938;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;1;128;0,020936;0,000258;0,021203;0,017021;;;;;;;;;
OMP;1;128;0,015235;0,000247;0,015488;;;;;;;;;;
OMP;1;128;0,019212;0,000263;0,019483;;;;;;;;;;
OMP;1;128;0,015246;0,000248;0,015499;;;;;;;;;;
OMP;1;128;0,015292;0,000251;0,015549;;;;;;;;;;
OMP;1;128;0,02049;0,000263;0,020762;;;;;;;;;;
OMP;1;128;0,015248;0,000282;0,015537;;;;;;;;;;
OMP;1;128;0,01528;0,000249;0,015535;;;;;;;;;;
OMP;1;128;0,015246;0,000251;0,015503;;;;;;;;;;
OMP;1;128;0,018024;0,000252;0,018286;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;1;256;0,061102;0,000929;0,062038;0,062552;;;;;;;;;
OMP;1;256;0,06088;0,000911;0,061799;;;;;;;;;;
OMP;1;256;0,060836;0,000908;0,061751;;;;;;;;;;
OMP;1;256;0,063393;0,000909;0,064309;;;;;;;;;;
OMP;1;256;0,061073;0,000908;0,06199;;;;;;;;;;
OMP;1;256;0,061223;0,000912;0,062145;;;;;;;;;;
OMP;1;256;0,067663;0,000921;0,068594;;;;;;;;;;
OMP;1;256;0,06294;0,000909;0,063857;;;;;;;;;;
OMP;1;256;0,065453;0,000909;0,066369;;;;;;;;;;
OMP;1;256;0,060953;0,000912;0,061872;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;1;512;0,250827;0,00357;0,254412;0,246188;;;;;;;;;
OMP;1;512;0,244059;0,003466;0,247539;;;;;;;;;;
OMP;1;512;0,245941;0,003962;0,249916;;;;;;;;;;
OMP;1;512;0,249993;0,003551;0,253561;;;;;;;;;;
OMP;1;512;0,244142;0,00352;0,247675;;;;;;;;;;
OMP;1;512;0,250946;0,003739;0,254701;;;;;;;;;;
OMP;1;512;0,243197;0,003638;0,246848;;;;;;;;;;
OMP;1;512;0,243227;0,003546;0,246785;;;;;;;;;;
OMP;1;512;0,245781;0,003533;0,249329;;;;;;;;;;
OMP;1;512;0,243765;0,003954;0,247732;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;1;1024;0,973267;0,014055;0,987337;0,976208;;;;;;;;;
OMP;1;1024;0,972877;0,013993;0,986882;;;;;;;;;;
OMP;1;1024;0,975671;0,013989;0,989677;;;;;;;;;;
OMP;1;1024;0,977603;0,014025;0,991644;;;;;;;;;;
OMP;1;1024;0,981323;0,014044;0,995385;;;;;;;;;;
OMP;1;1024;0,98307;0,015406;0,998493;;;;;;;;;;
OMP;1;1024;0,972649;0,015295;0,987959;;;;;;;;;;
OMP;1;1024;0,975162;0,015644;0,990821;;;;;;;;;;
OMP;1;1024;0,972857;0,015618;0,988492;;;;;;;;;;
OMP;1;1024;0,977601;0,013988;0,991604;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;1;2048;3,892319;0,082857;3,975193;3,901372;;;;;;;;;
OMP;1;2048;3,89238;0,074981;3,967378;;;;;;;;;;
OMP;1;2048;3,89934;0,078169;3,977529;;;;;;;;;;
OMP;1;2048;3,902151;0,077003;3,979174;;;;;;;;;;
OMP;1;2048;3,901082;0,072982;3,974084;;;;;;;;;;
OMP;1;2048;3,893053;0,072401;3,965474;;;;;;;;;;
OMP;1;2048;3,917159;0,076667;3,993845;;;;;;;;;;
OMP;1;2048;3,894947;0,075048;3,97001;;;;;;;;;;
OMP;1;2048;3,906162;0,072438;3,978621;;;;;;;;;;
OMP;1;2048;3,915125;0,072622;3,987765;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;1;4096;15,664176;0,328467;15,992664;15,620244;;;;;;;;;
OMP;1;4096;15,692803;0,333482;16,026307;;;;;;;;;;
OMP;1;4096;15,613724;0,333542;15,947287;;;;;;;;;;
OMP;1;4096;15,60677;0,348104;15,954895;;;;;;;;;;
OMP;1;4096;15,632684;0,318153;15,950858;;;;;;;;;;
OMP;1;4096;15,565764;0,327826;15,893611;;;;;;;;;;
OMP;1;4096;15,624947;0,32634;15,951308;;;;;;;;;;
OMP;1;4096;15,56102;0,329856;15,890899;;;;;;;;;;
OMP;1;4096;15,638762;0,327434;15,966218;;;;;;;;;;
OMP;1;4096;15,601787;0,323913;15,925721;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;1;8192;62,294668;1,452525;63,747211;62,334871;;;;;;;;;
OMP;1;8192;62,230591;1,366738;63,597348;;;;;;;;;;
OMP;1;8192;62,453914;1,370483;63,824416;;;;;;;;;;
OMP;1;8192;62,330938;1,233612;63,564568;;;;;;;;;;
OMP;1;8192;62,578098;1,345614;63,923733;;;;;;;;;;
OMP;1;8192;62,272798;1,397431;63,670242;;;;;;;;;;
OMP;1;8192;62,335431;1,345384;63,680837;;;;;;;;;;
OMP;1;8192;62,241462;1,364513;63,605995;;;;;;;;;;
OMP;1;8192;62,257746;1,396162;63,653926;;;;;;;;;;
OMP;1;8192;62,353063;1,385604;63,738687;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;2;16;0,000258;0,000055;0,000322;0,000237;6,131111598;;9,892159953;;;;;;
OMP;2;16;0,000271;0,000033;0,000309;;;;;;;;;;
OMP;2;16;0,000298;0,000069;0,000376;;;;;;;;;;
OMP;2;16;0,000268;0,000078;0,000355;;;;;;;;;;
OMP;2;16;0,000238;0,000036;0,00028;;;;;;;;;;
OMP;2;16;0,000241;0,000033;0,00028;;;;;;;;;;
OMP;2;16;0,00024;0,000037;0,000282;;;;;;;;;;
OMP;2;16;0,000255;0,000066;0,00033;;;;;;;;;;
OMP;2;16;0,000149;0,000037;0,000192;;;;;;;;;;
OMP;2;16;0,000147;0,000033;0,000186;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;2;32;0,000521;0,000042;0,000568;0,000666;;;;;;;;;
OMP;2;32;0,0009;0,00007;0,000979;;;;;;;;;;
OMP;2;32;0,000907;0,000077;0,000993;;;;;;;;;;
OMP;2;32;0,000528;0,000043;0,000577;;;;;;;;;;
OMP;2;32;0,000517;0,000042;0,000565;;;;;;;;;;
OMP;2;32;0,000519;0,000041;0,000566;;;;;;;;;;
OMP;2;32;0,000523;0,000046;0,000574;;;;;;;;;;
OMP;2;32;0,000521;0,000046;0,000572;;;;;;;;;;
OMP;2;32;0,000861;0,000048;0,000915;;;;;;;;;;
OMP;2;32;0,000862;0,000047;0,000914;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;2;64;0,00395;0,00019;0,00415;0,002724;;;;;;;;;
OMP;2;64;0,003365;0,000096;0,003467;;;;;;;;;;
OMP;2;64;0,002847;0,00009;0,002945;;;;;;;;;;
OMP;2;64;0,003747;0,000101;0,003854;;;;;;;;;;
OMP;2;64;0,003204;0,00009;0,0033;;;;;;;;;;
OMP;2;64;0,001973;0,000091;0,002069;;;;;;;;;;
OMP;2;64;0,002214;0,00009;0,002309;;;;;;;;;;
OMP;2;64;0,002002;0,000095;0,002103;;;;;;;;;;
OMP;2;64;0,00197;0,000102;0,002078;;;;;;;;;;
OMP;2;64;0,001968;0,000091;0,002065;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;2;128;0,013348;0,000281;0,013639;0,008879;;;;;;;;;
OMP;2;128;0,007766;0,000267;0,008039;;;;;;;;;;
OMP;2;128;0,007714;0,000263;0,007982;;;;;;;;;;
OMP;2;128;0,012573;0,000512;0,013093;;;;;;;;;;
OMP;2;128;0,007742;0,000291;0,008039;;;;;;;;;;
OMP;2;128;0,007723;0,000269;0,007998;;;;;;;;;;
OMP;2;128;0,007735;0,000271;0,008012;;;;;;;;;;
OMP;2;128;0,007722;0,000275;0,008003;;;;;;;;;;
OMP;2;128;0,008735;0,000271;0,009012;;;;;;;;;;
OMP;2;128;0,00773;0,000268;0,008003;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;2;256;0,032031;0,000993;0,033031;0,033202;;;;;;;;;
OMP;2;256;0,030819;0,001006;0,031832;;;;;;;;;;
OMP;2;256;0,036458;0,000999;0,037467;;;;;;;;;;
OMP;2;256;0,032479;0,001016;0,033502;;;;;;;;;;
OMP;2;256;0,030798;0,001002;0,031807;;;;;;;;;;
OMP;2;256;0,030833;0,001004;0,031845;;;;;;;;;;
OMP;2;256;0,03546;0,000995;0,036464;;;;;;;;;;
OMP;2;256;0,034915;0,001561;0,03649;;;;;;;;;;
OMP;2;256;0,037573;0,001123;0,038704;;;;;;;;;;
OMP;2;256;0,030649;0,000995;0,031652;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;2;512;0,122701;0,003865;0,126582;0,125888;;;;;;;;;
OMP;2;512;0,123202;0,003874;0,127091;;;;;;;;;;
OMP;2;512;0,129009;0,00402;0,133045;;;;;;;;;;
OMP;2;512;0,123156;0,003853;0,127024;;;;;;;;;;
OMP;2;512;0,125136;0,003898;0,129049;;;;;;;;;;
OMP;2;512;0,128578;0,00391;0,132507;;;;;;;;;;
OMP;2;512;0,128397;0,003872;0,132284;;;;;;;;;;
OMP;2;512;0,127214;0,003894;0,131128;;;;;;;;;;
OMP;2;512;0,127856;0,003994;0,131865;;;;;;;;;;
OMP;2;512;0,123635;0,003844;0,127494;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;2;1024;0,497186;0,015184;0,512386;0,496009;;;;;;;;;
OMP;2;1024;0,493529;0,01626;0,509805;;;;;;;;;;
OMP;2;1024;0,493512;0,015458;0,508989;;;;;;;;;;
OMP;2;1024;0,494214;0,015397;0,509629;;;;;;;;;;
OMP;2;1024;0,49557;0,015241;0,510825;;;;;;;;;;
OMP;2;1024;0,49418;0,017139;0,511336;;;;;;;;;;
OMP;2;1024;0,503515;0,015539;0,519071;;;;;;;;;;
OMP;2;1024;0,490352;0,015227;0,505596;;;;;;;;;;
OMP;2;1024;0,502026;0,024494;0,526539;;;;;;;;;;
OMP;2;1024;ESTÁ FALTANDO UMA MEDIDA;;;;;;;;;;;;
;;;;;;;;;;;;;;;
OMP;2;2048;1,977442;0,091637;2,069098;1,974708;;;;;;;;;
OMP;2;2048;1,983297;0,078061;2,06138;;;;;;;;;;
OMP;2;2048;1,968257;0,399574;2,367849;;;;;;;;;;
OMP;2;2048;1,981581;0,101264;2,08287;;;;;;;;;;
OMP;2;2048;1,966726;0,083267;2,050015;;;;;;;;;;
