;Tamanho de entrada;Tempo de alocação de memória (s);Tempo de computação(s);Tempo de I/O;Tempo total(s);Média TAM;Média TC;Média TI/O;Média TT;Intervalo de Confiança;alfa;Desvio Padrão ;tamanho
seq;16;0,000008;0,000572;0,000073;0,000668;0;0,000000;0,000000;0,000403;0,012274931;0,05;0,019804823;10
seq;16;0,000004;0,000251;0,000044;0,00031;;;;;;;;
seq;16;0,000004;0,000495;0,000077;0,000599;;;;;;;;
seq;16;0,000004;0,000433;0,000052;0,000502;;;;;;;;
seq;16;0,000004;0,00043;0,000058;0,000506;;;;;;;;
seq;16;0,000006;0,000246;0,000038;0,000295;;;;;;;;
seq;16;0,000004;0,000246;0,000035;0,000291;;;;;;;;
seq;16;0,000004;0,000245;0,000031;0,000287;;;;;;;;
seq;16;0,000004;0,000245;0,000031;0,000286;;;;;;;;
seq;16;0,000004;0,000245;0,000031;0,00029;;;;;;;;
\n;;;;;;;;;;;;;
seq;32;0,000016;0,00192;0,000088;0,002048;0;0,000000;0,000000;0,000000;;;;
seq;32;0,000038;0,001915;0,000074;0,002031;;;;;;;;
seq;32;0,000015;0,000962;0,000039;0,001031;;;;;;;;
seq;32;0,000016;0,000959;0,000049;0,001035;;;;;;;;
seq;32;0,000016;0,000962;0,000041;0,001022;;;;;;;;
seq;32;0,000015;0,000977;0,000039;0,001038;;;;;;;;
seq;32;0,000015;0,001093;0,000039;0,001168;;;;;;;;
seq;32;0,000015;0,000958;0,000039;0,001018;;;;;;;;
seq;32;0,000026;0,000963;0,000039;0,001024;;;;;;;;
seq;32;0,000017;0,000965;0,000042;0,001028;;;;;;;;
\n;;;;;;;;;;;;;
seq;64;0,000065;0,003815;0,000087;0,003968;0,0000822;0,005153;0,000121;0,000000;;;;
seq;64;0,000142;0,003795;0,000079;0,003939;;;;;;;;
seq;64;0,000116;0,003787;0,000083;0,003943;;;;;;;;
seq;64;0,000058;0,003843;0,000083;0,00399;;;;;;;;
seq;64;0,000075;0,006245;0,000147;0,006512;;;;;;;;
seq;64;0,000124;0,003794;0,000084;0,003947;;;;;;;;
seq;64;0,000059;0,00829;0,000217;0,008686;;;;;;;;
seq;64;0,000058;0,006824;0,00015;0,007091;;;;;;;;
seq;64;0,00006;0,003792;0,000091;0,003952;;;;;;;;
seq;64;0,000065;0,00734;0,00019;0,007667;;;;;;;;
\n;;;;;;;;;;;;;
seq;128;0,000486;0,015089;0,000225;0,015547;0,0003904;0,016750;0,000257;0,017290;;;;
seq;128;0,000426;0,015094;0,000374;0,015704;;;;;;;;
seq;128;0,00025;0,017222;0,000238;0,017726;;;;;;;;
seq;128;0,000477;0,015072;0,000226;0,015532;;;;;;;;
seq;128;0,000431;0,015092;0,000236;0,015561;;;;;;;;
seq;128;0,000422;0,015116;0,000272;0,015624;;;;;;;;
seq;128;0,000234;0,019688;0,000246;0,020166;;;;;;;;
seq;128;0,000475;0,018818;0,000252;0,019505;;;;;;;;
seq;128;0,000469;0,021185;0,000245;0,021925;;;;;;;;
seq;128;0,000234;0,015125;0,000253;0,015611;;;;;;;;
\n;;;;;;;;;;;;;
seq;256;0,001025;0,064429;0,000865;0,067166;0;0,062769;0,000919;0,065068;;;;
seq;256;0,001154;0,060275;0,000866;0,062095;;;;;;;;
seq;256;0,000989;0,060324;0,001333;0,062585;;;;;;;;
seq;256;0,001471;0,063917;0,000863;0,06643;;;;;;;;
seq;256;0,002307;0,060284;0,000861;0,062084;;;;;;;;
seq;256;0,00217;0,060361;0,000867;0,062169;;;;;;;;
seq;256;0,002053;0,060345;0,000863;0,062305;;;;;;;;
seq;256;0,001085;0,065948;0,000869;0,068477;;;;;;;;
seq;256;0,001149;0,066246;0,000921;0,069038;;;;;;;;
seq;256;0,001027;0,065556;0,000886;0,068331;;;;;;;;
\n;;;;;;;;;;;;;
seq;512;0,006235;0,242514;0,003234;0,253178;0;0,000000;0,000000;0,250500;;;;
seq;512;0,007012;0,242773;0,003501;0,250308;;;;;;;;
seq;512;0,008263;0,240471;0,003415;0,247874;;;;;;;;
seq;512;0,004307;0,241966;0,003263;0,253086;;;;;;;;
seq;512;0,004184;0,24359;0,003333;0,254088;;;;;;;;
seq;512;0,007039;0,243467;0,003317;0,254395;;;;;;;;
seq;512;0,007631;0,240728;0,003491;0,248224;;;;;;;;
seq;512;0,004245;0,240531;0,003512;0,248017;;;;;;;;
seq;512;0,007271;0,24042;0,00336;0,247788;;;;;;;;
seq;512;0,00703;0,24074;0,003262;0,248041;;;;;;;;
\n;;;;;;;;;;;;;
seq;1024;0,017608;0,964022;0,012823;0,998522;0;0,000000;0,000000;0,000000;;;;
seq;1024;0,019799;0,961811;0,012778;1,002485;;;;;;;;
seq;1024;0,023735;0,962634;0,012778;0,992287;;;;;;;;
