Tipo de Paralelização;Número de Threads;Tamanho da Entrada;Tempo de Computação Paralela (s);Tempo de I/O (s);Tempo Total (s);Média  da Computação Paralela;Intervalo de confiança;alfa;Desv.Padrão;tamanho
omp;1;16;0,000048;0,000025;0,000083;0,000064;#DIV/0!;0,05;#DIV/0!;10
omp;1;16;0,000046;0,000034;0,000085;;;;;
omp;1;16;0,000046;0,000033;0,000084;;;;;
omp;1;16;0,000046;0,000033;0,000085;;;;;
omp;1;16;0,000082;0,000065;0,000156;;;;;
omp;1;16;0,000082;0,000064;0,000155;;;;;
omp;1;16;0,000081;0,000061;0,000151;;;;;
omp;1;16;0,000082;0,000058;0,000150;;;;;
omp;1;16;0,000081;0,000081;0,000173;;;;;
omp;1;16;0,000046;0,000032;0,000084;;;;;
;;;;;;;;;;
omp;1;32;0,000168;0,000042;0,000215;0,000215;;;;
omp;1;32;0,000168;0,000040;0,000213;;;;;
omp;1;32;0,000179;0,000046;0,000230;;;;;
omp;1;32;0,000168;0,000041;0,000215;;;;;
omp;1;32;0,000170;0,000042;0,000217;;;;;
omp;1;32;0,000310;0,000077;0,000396;;;;;
omp;1;32;0,000168;0,000041;0,000215;;;;;
omp;1;32;0,000349;0,000080;0,000440;;;;;
omp;1;32;0,000170;0,000048;0,000223;;;;;
omp;1;32;0,000296;0,000073;0,000378;;;;;
\n;;;;;;;;;;
omp;1;64;0,000651;0,000087;0,000742;0,000814;;;;
omp;1;64;0,000640;0,000083;0,000729;;;;;
omp;1;64;0,001124;0,000144;0,001277;;;;;
omp;1;64;0,001129;0,000155;0,001293;;;;;
omp;1;64;0,000641;0,000083;0,000729;;;;;
omp;1;64;0,000654;0,000083;0,000743;;;;;
omp;1;64;0,000651;0,000091;0,000747;;;;;
omp;1;64;0,000646;0,000086;0,000737;;;;;
omp;1;64;0,001155;0,000148;0,001313;;;;;
omp;1;64;0,000845;0,000087;0,000941;;;;;
\n;;;;;;;;;;
omp;1;128;0,002517;0,000251;0,002774;0,003069;;;;
omp;1;128;0,002501;0,000245;0,002751;;;;;
omp;1;128;0,002498;0,000247;0,002750;;;;;
omp;1;128;0,005127;0,000494;0,005634;;;;;
omp;1;128;0,005272;0,000520;0,005802;;;;;
omp;1;128;0,002712;0,000259;0,002977;;;;;
