;Tamanho de entrada;Tempo de alocação de memória (s);Tempo de computação(s);Tempo de I/O;Tempo total(s);Média TAM;Média TC;Média TI/O;Média TT;Intervalo de Confiança;alfa;Desvio Padrão ;tamanho
seq;16;0,000008;0,000583;0,000092;0,000696;0;0,000000;0,000000;0,000000;#NÚM!;0,05;0;10
seq;16;0,000006;0,000254;0,000045;0,000311;;;;;;;;
seq;16;0,000006;0,0005;0,000071;0,00059;;;;;;;;
seq;16;0,000004;0,00044;0,000058;0,000517;;;;;;;;
seq;16;0,000004;0,000251;0,000048;0,000314;;;;;;;;
seq;16;0,000006;0,000462;0,000077;0,000556;;;;;;;;
seq;16;0,000008;0,000252;0,000043;0,000306;;;;;;;;
seq;16;0,000006;0,00025;0,000031;0,000291;;;;;;;;
seq;16;0,000004;0,000255;0,000031;0,000297;;;;;;;;
seq;16;0,000006;0,000251;0,000031;0,000291;;;;;;;;
\n;;;;;;;;;;;;;
seq;32;0,000015;0,001017;0,000039;0,001076;0;0,000000;0,000000;0,000000;;;;
seq;32;0,000016;0,001273;0,000084;0,001382;;;;;;;;
seq;32;0,000015;0,001004;0,000041;0,001066;;;;;;;;
seq;32;0,000017;0,001024;0,000048;0,001093;;;;;;;;
seq;32;0,000015;0,001045;0,000046;0,001126;;;;;;;;
seq;32;0,000019;0,001;0,000039;0,001059;;;;;;;;
seq;32;0,000015;0,00176;0,000072;0,001871;;;;;;;;
seq;32;0,000015;0,001006;0,000038;0,001066;;;;;;;;
seq;32;0,000027;0,00101;0,000043;0,001073;;;;;;;;
seq;32;0,000015;0,001009;0,000047;0,001079;;;;;;;;
\n;;;;;;;;;;;;;
seq;64;0,000061;0,004004;0,000081;0,004163;0;0,000000;0,000000;0,000000;;;;
seq;64;0,000057;0,004007;0,000083;0,004157;;;;;;;;
seq;64;0,000062;0,004017;0,00009;0,004172;;;;;;;;
seq;64;0,000089;0,004001;0,000082;0,004146;;;;;;;;
seq;64;0,000107;0,003999;0,000081;0,004145;;;;;;;;
seq;64;0,000057;0,004017;0,000101;0,004182;;;;;;;;
seq;64;0,000059;0,005164;0,000087;0,005348;;;;;;;;
seq;64;0,000057;0,004002;0,000093;0,00416;;;;;;;;
seq;64;0,000058;0,007892;0,000156;0,008182;;;;;;;;
seq;64;0,000061;0,004471;0,000079;0,004661;;;;;;;;
\n;;;;;;;;;;;;;
