Tipo de Paralelização;Número de Threads;Tamanho da Entrada;Tempo de Computação Paralela (s);Tempo de I/O (s);Tempo Total (s);Média  da Computação Paralela;Intervalo de confiança;alfa;Desv.Padrão;tamanho
th;1;16;0,00071;0,000035;0,000751;0,0005802;14,64142543;0,05;23,62301191;10
pth;1;16;0,000396;0,000073;0,000483;;;;;
pth;1;16;0,000633;0,000061;0,000705;;;;;
pth;1;16;0,000612;0,000055;0,000677;;;;;
pth;1;16;0,000614;0,000055;0,000681;;;;;
pth;1;16;0,00037;0,000034;0,000412;;;;;
pth;1;16;0,000604;0,000034;0,000644;;;;;
pth;1;16;0,000625;0,000056;0,000694;;;;;
pth;1;16;0,000618;0,000056;0,000685;;;;;
pth;1;16;0,00062;0,000062;0,000693;;;;;
\n;;;;;;;;;;
pth;1;32;0,001225;0,000056;0,001289;0,0017685;;;;
pth;1;32;0,002107;0,00011;0,002228;;;;;
pth;1;32;0,001811;0,000049;0,001867;;;;;
pth;1;32;0,001227;0,000074;0,001313;;;;;
pth;1;32;0,002155;0,000083;0,00225;;;;;
pth;1;32;0,001231;0,000072;0,001314;;;;;
pth;1;32;0,002421;0,00008;0,002518;;;;;
pth;1;32;0,00213;0,000062;0,002199;;;;;
pth;1;32;0,001233;0,000048;0,001288;;;;;
pth;1;32;0,002145;0,000084;0,002242;;;;;
\n;;;;;;;;;;
pth;1;64;0,008389;0,000138;0,008535;0,0074767;;;;
pth;1;64;0,007608;0,000209;0,00783;;;;;
pth;1;64;0,008429;0,000172;0,008609;;;;;
pth;1;64;0,009234;0,000219;0,00947;;;;;
pth;1;64;0,004695;0,000194;0,004904;;;;;
pth;1;64;0,008913;0,000116;0,009041;;;;;
pth;1;64;0,004757;0,000179;0,004949;;;;;
pth;1;64;0,008876;0,00025;0,009144;;;;;
pth;1;64;0,009129;0,000098;0,009235;;;;;
pth;1;64;0,004737;0,000192;0,004944;;;;;
\n;;;;;;;;;;
pth;1;128;0,018452;0,00053;0,018996;0,0214495;;;;
pth;1;128;0,018456;0,000537;0,019005;;;;;
pth;1;128;0,022188;0,000548;0,022745;;;;;
pth;1;128;0,018564;0,000549;0,019127;;;;;
pth;1;128;0,025316;0,000808;0,026135;;;;;
pth;1;128;0,021922;0,00054;0,022475;;;;;
pth;1;128;0,018453;0,000539;0,019006;;;;;
pth;1;128;0,024608;0,000556;0,025174;;;;;
pth;1;128;0,024073;0,000543;0,024629;;;;;
pth;1;128;0,022463;0,00056;0,023037;;;;;
\n;;;;;;;;;;
