;Tamanho de entrada;Tempo de alocação de memória (s);Tempo de computação(s);Tempo de I/O;Tempo total(s);Média TAM;Média TC;Média TI/O;Média TT;Intervalo de Confiança;alfa;Desvio Padrão ;tamanho
seq;16;0,000004;0,00069;0,000081;0,000801;0,0000044;0,000000;0,000000;0,000000;#NÚM!;0,05;0;10
seq;16;0,000003;0,000506;0,000079;0,000609;;;;;;;;
seq;16;0,000004;0,000578;0,000085;0,000684;;;;;;;;
seq;16;0,000004;0,000503;0,000068;0,000594;;;;;;;;
seq;16;0,000004;0,000502;0,000054;0,000573;;;;;;;;
seq;16;0,000006;0,00029;0,000049;0,000351;;;;;;;;
seq;16;0,000004;0,000287;0,000031;0,000328;;;;;;;;
seq;16;0,000004;0,000287;0,000031;0,000328;;;;;;;;
seq;16;0,000007;0,000291;0,000031;0,000332;;;;;;;;
seq;16;0,000004;0,000288;0,00003;0,000328;;;;;;;;
\n;;;;;;;;;;;;;
seq;32;0,000026;0,00285;0,000102;0,002996;0;0,000000;0,000000;0,000000;;;;
seq;32;0,000022;0,002026;0,000073;0,002144;;;;;;;;
seq;32;0,000027;0,001137;0,000041;0,001199;;;;;;;;
seq;32;0,000017;0,002002;0,00008;0,002123;;;;;;;;
seq;32;0,000026;0,001143;0,000039;0,001204;;;;;;;;
seq;32;0,000015;0,001137;0,00005;0,001211;;;;;;;;
seq;32;0,000014;0,001144;0,000042;0,001207;;;;;;;;
seq;32;0,000026;0,002126;0,000113;0,002283;;;;;;;;
seq;32;0,000028;0,001146;0,000044;0,001212;;;;;;;;
seq;32;0,000027;0,001143;0,000041;0,001207;;;;;;;;
\n;;;;;;;;;;;;;
seq;64;0,000058;0,004561;0,000079;0,004703;0;0,000000;0,000000;0,000000;;;;
seq;64;0,00011;0,007965;0,000103;0,008192;;;;;;;;
seq;64;0,000067;0,004588;0,000089;0,004742;;;;;;;;
seq;64;0,000117;0,004585;0,000083;0,004739;;;;;;;;
seq;64;0,000059;0,006327;0,000083;0,006506;;;;;;;;
seq;64;0,000058;0,009263;0,00023;0,00963;;;;;;;;
seq;64;0,000059;0,008691;0,000174;0,008985;;;;;;;;
seq;64;0,000059;0,006308;0,00009;0,006519;;;;;;;;
seq;64;0,000057;0,006573;0,000149;0,006809;;;;;;;;
seq;64;0,000057;0,008151;0,000087;0,008357;;;;;;;;
\n;;;;;;;;;;;;;
seq;128;0,000233;0,018176;0,000247;0,018656;0;0,000000;0,000000;0,000000;;;;
seq;128;0,000446;0,02515;0,000248;0,025898;;;;;;;;
seq;128;0,000241;0,023124;0,00026;0,023877;;;;;;;;
seq;128;0,000563;0,01814;0,000251;0,018624;;;;;;;;
seq;128;0,000231;0,018181;0,000238;0,018655;;;;;;;;
seq;128;0,000269;0,02163;0,000258;0,022336;;;;;;;;
seq;128;0,000421;0,018319;0,000254;0,018885;;;;;;;;
seq;128;0,000633;0,018243;0,000249;0,018759;;;;;;;;
seq;128;0,000277;0,018193;0,000262;0,018691;;;;;;;;
seq;128;0,000259;0,018277;0,000249;0,018763;;;;;;;;
\n;;;;;;;;;;;;;
seq;256;0,002042;0,072601;0,000862;0,074407;0;0,000000;0,000000;0,000000;;;;
seq;256;0,001092;0,072655;0,000969;0,074585;;;;;;;;
seq;256;0,00103;0,081253;0,000941;0,084069;;;;;;;;
seq;256;0,001331;0,072593;0,000879;0,074413;;;;;;;;
seq;256;0,001051;0,072594;0,000854;0,074387;;;;;;;;
seq;256;0,001015;0,072618;0,00085;0,074415;;;;;;;;
seq;256;0,00103;0,076065;0,001347;0,079291;;;;;;;;
seq;256;0,001714;0,072715;0,00087;0,074536;;;;;;;;
seq;256;0,001903;0,077954;0,000877;0,08069;;;;;;;;
seq;256;0,001016;0,073317;0,00088;0,075195;;;;;;;;
\n;;;;;;;;;;;;;
seq;512;0,007977;0,29095;0,003274;0,300957;0;0,000000;0,000000;0,000000;;;;
seq;512;0,007133;0,290298;0,003504;0,297876;;;;;;;;
seq;512;0,004281;0,291766;0,003222;0,302826;;;;;;;;
seq;512;0,004087;0,290065;0,003255;0,297322;;;;;;;;
seq;512;0,007833;0,290257;0,003258;0,297544;;;;;;;;
seq;512;0,004183;0,291228;0,003471;0,302314;;;;;;;;
seq;512;0,004231;0,290248;0,003487;0,297706;;;;;;;;
seq;512;0,007318;0,290049;0,003244;0,297315;;;;;;;;
seq;512;0,00417;0,290303;0,003229;0,297513;;;;;;;;
seq;512;0,004409;0,291428;0,003243;0,298661;;;;;;;;
\n;;;;;;;;;;;;;
seq;1024;0,017879;1,162551;0,015753;1,195105;0;0,000000;0,000000;0,000000;;;;
seq;1024;0,01993;1,160653;0,013319;1,190298;;;;;;;;
seq;1024;0,017368;1,161489;0,01285;1,196736;;;;;;;;
seq;1024;0,017402;1,161426;0,012887;1,191002;;;;;;;;
seq;1024;0,018727;1,16808;0,019847;1,209708;;;;;;;;
seq;1024;0,02017;1,164527;0,013536;1,194745;;;;;;;;
seq;1024;0,024156;1,16221;0,012833;1,196902;;;;;;;;
seq;1024;0,019838;1,162332;0,013004;1,192092;;;;;;;;
seq;1024;0,017511;1,166334;0,012984;1,196174;;;;;;;;
seq;1024;0,020055;1,162785;0,012809;1,196522;;;;;;;;
\n;;;;;;;;;;;;;
seq;2048;0,075174;4,648334;0,070016;4,789401;0;0,000000;0,000000;0,000000;;;;
seq;2048;0,076163;4,641734;0,075846;4,78635;;;;;;;;
seq;2048;0,076809;4,659845;0,093446;4,830915;;;;;;;;
seq;2048;0,084211;4,643497;0,073375;4,788663;;;;;;;;
seq;2048;0,069619;4,667823;0,084556;4,828472;;;;;;;;
seq;2048;0,102548;4,664127;0,068084;4,80615;;;;;;;;
seq;2048;0,081179;4,654745;0,068688;4,799424;;;;;;;;
seq;2048;0,079823;4,644924;0,068546;4,788079;;;;;;;;
seq;2048;0,074567;4,653232;0,069081;4,800558;;;;;;;;
seq;2048;0,071164;4,652389;0,067932;4,799709;;;;;;;;
\n;;;;;;;;;;;;;
seq;4096;0,287605;18,592072;0,327637;19,197474;0;0,000000;0;0,000000;;;;
seq;4096;0,279908;18,815392;0,338412;19,426628;;;;;;;;
seq;4096;0,296513;18,729078;0,343647;19,349194;;;;;;;;
seq;4096;0,27866;18,756873;0,332886;19,376207;;;;;;;;
seq;4096;0,291535;18,803969;0,324158;19,408574;;;;;;;;
seq;4096;0,288059;18,895514;0,34005;19,512512;;;;;;;;
seq;4096;0,276249;18,862115;0,328139;19,482807;;;;;;;;
seq;4096;0,280107;18,868331;0,340207;19,503017;;;;;;;;
seq;4096;0,288007;18,838929;0,358707;19,495943;;;;;;;;
seq;4096;0,279391;18,691177;0,453025;19,417905;;;;;;;;
\n;;;;;;;;;;;;;
seq;8192;1,097549;74,977835;1,341898;77,369454;0;0,00;0;0;;;;
seq;8192;1,08532;74,369069;1,316132;76,739945;;;;;;;;
seq;8192;1,072522;74,417154;1,337469;76,803441;;;;;;;;
seq;8192;1,07934;74,853223;1,31803;77,260452;;;;;;;;
seq;8192;1,070981;74,418802;1,275443;76,74341;;;;;;;;
seq;8192;1,107067;73,906705;1,311898;76,270192;;;;;;;;
